ASIN,ASIN_body,commodity_item,brandName,price,comments,star_level,ranking,DATE
B00MN6P4ZA,Piscifun Fishing Rods Belt Ties Rod Strap Stretchy Trout Fishing Rods Carbon Telescopic Bait Casting Spinning Rods Holder Wrap Bag Accessories 6pcs,null,Piscifun,null,152 ratings,4.6 out of 5,"['#145,869 in Sports & Outdoors (', ')']","['3.2 ounces (', ')', 'B00MN6P4ZA', '#145,869 in Sports & Outdoors (', ')']"
B07RKV38LK,"PLUSINNO Fishing Rod Cover, Fishing Rod Sleeve Socks, Braided Mesh Rod Protector, Fishing Pole Covers Sleeves with Lanyard for Fly Spinning Casting Rod，Flat End Fishing Gear Tools Accessories","['B07X56ZCDB', 'B07RKT5F7B', 'B07WZY21BZ', 'B07RLLXGZT']",PLUSINNO,$8.99-$15.79,73 ratings,4.7 out of 5,"['#32,025 in Sports & Outdoors (', ')']","['B07RHMDZ8S', '#32,025 in Sports & Outdoors (', ')']"
B01MDS5M1Z,Sougayilang Folding Travel Fishing Pole Bag Rod Reel Tackle Carrier Fishing Rod Bag Fishing Case Organizer-160cm/63in,null,Sougayilang,$21.99,7 ratings,4.8 out of 5,"['#127,565 in Sports & Outdoors (', ')']","['3.9 x 3.9 x 3.9 inches ; 1.7 pounds', '2 pounds (', ')', 'B01MDS5M1Z', '#127,565 in Sports & Outdoors (', ')']"
B07D6YX4X8,Sougayilang Fishing Rod Reel Combos Carbon Fiber Telescopic Fishing Pole with Spinning Reel for Travel Saltwater Freshwater Fishing,"['B07C6F767T', 'B07D6ZXG3H', 'B07C6BSV8K']",Sougayilang,$35.99-$59.99,148 ratings,4 out of 5,"['#11,961 in Sports & Outdoors (', ')']","['B07C6FHQP7', '#11,961 in Sports & Outdoors (', ')']"
B00DSDMJJG,BW Sports Dual Spinning Rod and Reel Case for (7 ft.) 2-Piece Spinning Rods or Baitcasting Rods with Large Guides - RC-3072,null,BW Sports,null,11 ratings,4.2 out of 5,"['#169,693 in Sports & Outdoors (', ')']","['5.8 pounds (', ')', 'Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.', 'This item is not eligible for international shipping.', 'B00DSDMJJG', 'RC-3072', '#169,693 in Sports & Outdoors (', ')']"
B00MHG6BXA,Flying Fisherman Passport Travel Rod Case,null,Flying Fisherman,$50.45,7 ratings,3.4 out of 5,"['#193,836 in Sports & Outdoors (', ')']","['31.5 x 5.9 x 3.9 inches ; 1.81 pounds', '1.8 pounds (', ')', 'Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.', 'This item can be shipped to select countries outside of the U.S.', 'B00MHG6BXA', 'P050', '#193,836 in Sports & Outdoors (', ')']"
B00GLDZERO,Striker Transporter Ice Fishing 704100,null,Striker 2,$149.99,18 ratings,3.8 out of 5,"['#80,850 in Sports & Outdoors (', ')']","['8.7 pounds (', ')', 'B00GLDZERO', '#80,850 in Sports & Outdoors (', ')']"
B072MGR5J3,"Wowelife Fishing Rod Carrier Fishing Reel Organizer Pole Storage Bag for Fishing and Traveling,A Gift for Family Father, Daughter and Friends","['B07C4CTP9C', 'B072MGR5J3']",Wowelife,$31.59,76 ratings,4.1 out of 5,"['#9,449 in Sports & Outdoors (', ')']","['1.46 pounds', '1.5 pounds', 'B072MGR5J3', '#9,449 in Sports & Outdoors (', ')']"
B08177YPQY,Maxxon Fly Rod and Reel Cordura P-Type Travel Carry Case Bag,"['B08177MZKD', 'B08177YPQY']",Maxxon Outfitters,$34.99-$49.99,null,null,"['#297,722 in Sports & Outdoors (', ')']","['B082FMBM6J', '#297,722 in Sports & Outdoors (', ')']"
B07FMWNGKR,"Goture Travel Fishing Rods 4Pcs,Casting/Spinning Rod with Case 6ft-10ft",null,Goture,null,28 ratings,4 out of 5,"['#38,286 in Sports & Outdoors (', ')']","['1.2 pounds (', ')', 'B07FMWNGKR', '#38,286 in Sports & Outdoors (', ')']"
