ASIN,ASIN_body,commodity_item,brandName,price,comments,star_level,ranking,DATE
B07KSV7WGY,Sougayilang Fishing Rod Combos with Telescopic Fishing Pole Spinning Reels Fishing Carrier Bag for Travel Saltwater Freshwater Fishing,"['B079GJ6K2R', 'B07FCFCBKN', 'B07KJR34C9', 'B07KSV7WGY']",Sougayilang,$18.99-$64.99,180 ratings,4.1 out of 5,"['#10,787 in Sports & Outdoors (', ')']","['B07FZ13RMQ', '#10,787 in Sports & Outdoors (', ')']"
B07B2H3GMM,"KastKing Speed Demon Pro Tournament Series Bass Fishing Rods, Elite Carbon High Modulus 1 Pc Blanks, Fuji Guides & Reel Seats, Winn Grip, 15 Technique Specific Lengths & Actions-Spinning & Casting",null,KastKing,null,292 ratings,4.6 out of 5,"['#10,520 in Sports & Outdoors (', ')']","['3.1 pounds (', ')', 'B07B2H3GMM', '#10,520 in Sports & Outdoors (', ')']"
B07LCN57HT,UNISTRENGH Fishing Rod Case Portable Folding Fishing Rod Case Fishing Pole Reel Storage Bag Fishing Gears Organizer 80cm/90cm/100cm/120cm,"['B07LCM45ZH', 'B07LCLD4SF']",Unistrengh,$39.99-$79.99,3 ratings,5 out of 5,"['#168,522 in Sports & Outdoors (', ')']","['B07LCN6WDW', '#168,522 in Sports & Outdoors (', ')']"
B07XXZ627H,Lixada Fishing Rod Case Three Layers Oxford Fishing Bag Portable Folding Fishing Rod Reel Tackle Tool Carry Case Carrier Travel Bag(130cm/150cm),"['B07XXXHY85', 'B07XY1L6RR']",Lixada,$28.99-$29.99,13 ratings,5 out of 5,"['#47,999 in Sports & Outdoors (', ')']","['B07XXYY5QF', '#47,999 in Sports & Outdoors (', ')']"
B07WMPFKNK,"Hamkaw Fishing Rod Carrier, 3-in-1 Fishing Tackle Bag with Detachable Shoulder Strap 1000D Polyester Fish Pole Carrier Backpack Travel Fishing Rod Duffle Organizer Carry Case Tube Reel Handbag",null,Hamkaw,null,null,null,"['#703,158 in Sports & Outdoors (', ')']","['9.1 x 10.2 x 2 inches ; 1.43 pounds', '1.4 pounds (', ')', 'B07WMPFKNK', '#703,158 in Sports & Outdoors (', ')']"
B00KQJBPZO,BW Sports Spinning Rod & Reel Case for (10.5 ft.) 2-Piece Spinning Rods or Baitcasting Rods - RC-5105,null,BW Sports,null,10 ratings,3.8 out of 5,"['#387,877 in Sports & Outdoors (', ')']","['3.5 pounds (', ')', 'Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.', 'This item is not eligible for international shipping.', 'B00KQJBPZO', 'RC-5105', '#387,877 in Sports & Outdoors (', ')']"
B07MJY19QP,"Packable Fly Fishing Rod & Reel Combo Travel Fly Rod Combo | Combos & Individual Rods Available | Fly Fishing Kit for Travel, Backpacking, Camping, or Hiking | Back Up Fly Rods","['B07MGBZZZ8', 'B072N3BXJH', 'B07MJY19QP', 'B072N3D65Y', 'B07MGC1F3K']",Pescador on the Fly,null,6 ratings,5 out of 5,"['#376,218 in Sports & Outdoors (', ')']","['1 pounds (', ')', 'B07MJY19QP', '#376,218 in Sports & Outdoors (', ')']"
B07WHGWYNC,Lixada Fishing Rod Case Fishing Tackle Bag Fishing Pole Storage Bag&9' Fly Fishing Rod and Reel Combo with 20 Flies Complete Starter Package Fly Fishing Kit,"['B07JLQ4W83', 'B07WFCB8XQ', 'B07WHH1QYB', 'B07WHGWYNC', 'B07STDWJXF', 'B07STB4WNC']",Lixada,$59.99,23 ratings,4.1 out of 5,"['#49,685 in Sports & Outdoors (', ')']","['1.6 pounds (', ')', 'B07WHGWYNC', '#49,685 in Sports & Outdoors (', ')']"
B00JJ6O0N4,Temple Fork Outfitters TFO Triangular Nylon Carrying Case - 4PC Fly Fishing Rod,null,Temple Fork Outfitters,$29.95-$49.95,40 ratings,4.4 out of 5,"['#116,671 in Sports & Outdoors (', ')']","['0.16 ounces', '0.2 ounces (', ')', 'B00JJ6NSQO', '#116,671 in Sports & Outdoors (', ')']"
B07NLJGVT2,Portarod Inshore Fishing Rod Holder/Rod Rack for Truck Bed,null,Portarod,$119.99-$199.99,4 ratings,5 out of 5,"['#151,788 in Sports & Outdoors (', ')']","['9 pounds', '9 pounds (', ')', 'B07XKC83GX', '#151,788 in Sports & Outdoors (', ')']"
B0787SQQ6S,Palm fishing Spinning Rod and Reel Combos - Carbon Fiber Telescopic Fishing Rod with Reel Combo Line Lures Hooks and Fishing Carrier Bag Case Accessories - for Saltwater Freshwater,null,Palm fishing,$68.98,3 ratings,3 out of 5,"['#692,384 in Sports & Outdoors (', ')']","['2.5 pounds (', ')', 'B0787SQQ6S', '#692,384 in Sports & Outdoors (', ')']"
B072N3BXJH,"Packable Fly Fishing Rod & Reel Combo Travel Fly Rod Combo | Combos & Individual Rods Available | Fly Fishing Kit for Travel, Backpacking, Camping, or Hiking | Back Up Fly Rods","['B07MGBZZZ8', 'B072N3BXJH', 'B07MJY19QP', 'B072N3D65Y', 'B07MGC1F3K']",Pescador on the Fly,$249.99,6 ratings,5 out of 5,"['#376,218 in Sports & Outdoors (', ')']","['1.5 pounds (', ')', 'B072N3BXJH', '#376,218 in Sports & Outdoors (', ')']"
B004CPCUOS,Wild Water Fly Fishing Rod and Reel Combo 4 Piece Fly Rod 3/4 7’ Complete Starter Package,null,Wild Water,$94.00,90 ratings,4.7 out of 5,"['#43,433 in Sports & Outdoors (', ')']","['2.01 pounds', '2 pounds (', ')', 'B004CPCUOS', '#43,433 in Sports & Outdoors (', ')']"
B072N9RQ52,"UBOWAY Outdoor Lamp Telescopic Fishing Rod Lamp with IR Remote for Camping, Fishing, Travelling, Party 12V",null,UBOWAY,null,47 ratings,3.5 out of 5,"['#32,876 in Sports & Outdoors (', ')']","['2 pounds (', ')', 'B072N9RQ52', '#32,876 in Sports & Outdoors (', ')']"
B07WVX9RFS,MOMU Fishing Rod Case Cover Sleeve Bag Scratch-Proof Protective Bags Cotton Cloth Material Storage Cases,"['B07WVX9RFS', 'B07WVSSYBJ', 'B07WVW77C6', 'B07WVW2HML', 'B07WNTRJN3']",MOMU,$2.89,null,null,"['#938,348 in Sports & Outdoors (', ')']","['1.3 ounces (', ')', 'B07WVX9RFS', '#938,348 in Sports & Outdoors (', ')']"
B0786CLT3F,"Angler's World of Jigs Premium Ice Fishing Lure Kit Ice Fishing Lure, Lures, Tackle, Bait, Rod, Pole, Reel, Combo, Case, Line, Gear, Pack, Hole, Sled, Shelter, Shanty, Tool",null,Angler's World of Jigs,null,7 ratings,3.5 out of 5,"['#82,172 in Sports & Outdoors (', ')']","['B0786CLT3F', '#82,172 in Sports & Outdoors (', ')']"
B00PBMY2NI,Orvis Encounter Spin/Fly Combo,null,Orvis,$199.00,15 ratings,3.7 out of 5,"['#344,142 in Sports & Outdoors (', ')']","['2.6 pounds (', ')', 'B00PBMY2NI', '8Y4P6165', '#344,142 in Sports & Outdoors (', ')']"
B07XM6FRFR,"Piscifun Torrent Baitcasting Fishing Rod and Reel Combo, Low Profile Baitcaster Reel and Rod Combo with Protable Pole Storage Case Bag",null,Piscifun,null,null,null,"['#237,935 in Sports & Outdoors (', ')']","['2.6 pounds (', ')', 'B07XM6FRFR', '#237,935 in Sports & Outdoors (', ')']"
B07V5BBCHS,Donsino Outdoor 5Pcs Fishing Rod Sleeve Rod Cover Braided Mesh Rod Protector Fishing Pole Gloves with 5pcs Rod Straps Belts Ties Fishing Gear Tools Accessories for Spinning Casting Sea Fishing Rod,null,Donsino,null,12 ratings,4.5 out of 5,"['#169,782 in Sports & Outdoors (', ')']","['10.6 ounces (', ')', 'B07V5BBCHS', '#169,782 in Sports & Outdoors (', ')']"
B00CR6N0KC,thkfish Fishing Rod Guides Fishing Rod Repair Kit Casting Rod Spinning Bait Casting Guides Ceramics Stainless Steel Carbon Guide Repair 8 Sizes 75pcs,null,THKFISH,$21.99,78 ratings,4.4 out of 5,"#124,953 in Toys & Games (","['7.5 x 5.4 x 1.6 inches', '3.2 ounces', '11.2 ounces (', ')', 'B00CR6N0KC', '4.4 out of 5 stars']"
B07TTGFD7V,"PLUSINNO Fishing Rod Rack, Metal Aluminum Alloy Fishing Rod Stand Organizer, Hold Up to 6 Rods, Fishing Rod Storage Holder for All Type Fishing Pole Gear Garage",null,PLUSINNO,$38.99,48 ratings,4.8 out of 5,"['#46,862 in Sports & Outdoors (', ')']","['4.5 pounds (', ')', 'B07TTGFD7V', '#46,862 in Sports & Outdoors (', ')']"
B00AJNE126,Trophy Angler Ice Deluxe 12 Rod Ice Fishing Bag,null,Trophy Angler,null,6 ratings,3.4 out of 5,"['#326,006 in Sports & Outdoors (', ')']","['B00AJNE126', '#326,006 in Sports & Outdoors (', ')']"
B00K2S1MK2,Flies Direct Waterproof Fly Box,null,Flies Direct,null,353 ratings,4.6 out of 5,"['#5,684 in Sports & Outdoors (', ')']","['2.4 ounces', '2.4 ounces (', ')', 'Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.', 'This item can be shipped to select countries outside of the U.S.', 'B00K2S1MK2', '1024', '#5,684 in Sports & Outdoors (', ')']"
B07Q3TJK1V,"Magreel Telescopic Fishing Rod and Reel Combo Set with Fishing Line, Fishing Lures Kit& Accessories and Carrier Bag for Saltwater Freshwater",null,Magreel,$50.99-$54.99,32 ratings,4.1 out of 5,"['#23,961 in Sports & Outdoors (', ')']","['B07Q4SJRMF', '#23,961 in Sports & Outdoors (', ')']"
B00LDYJB6Q,Berkley Ice Rod Bag - 1323315,null,Berkley,null,2 ratings,2.7 out of 5,"['#105,531 in Sports & Outdoors (', ')']","['17 x 13 x 3 inches ; 2 pounds', '2.4 pounds (', ')', 'Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.', 'This item can be shipped to select countries outside of the U.S.', 'B00LDYJB6Q', '1323315', '#105,531 in Sports & Outdoors (', ')']"
B07YTNN2HM,Godyluck Fishing Rod Case Waterproof Fishing Rod Carrier Fishing Pole Carrying Case Reel Storage Bag Fishing Gears Organizer,null,Godyluck,null,null,null,"['#1,584,412 in Sports & Outdoors (', ')']","['14.4 ounces (', ')', 'B07YTNN2HM', '#1,584,412 in Sports & Outdoors (', ')']"
B0771GPMPJ,Lixada Fishing Tackle Backpack Multifunctional Fishing Tackle Utility Bag Large Waterproof Tackle Bag Storage with 4 Trays Tackle Box,"['B07QKTCTD1', 'B07GJSN7PD', 'B0771MK6S9', 'B0771GPMPJ', 'B077TPQPDH', 'B078BH34D1']",Lixada,null,42 ratings,3.9 out of 5,"['#42,508 in Sports & Outdoors (', ')']","['2.4 pounds (', ')', 'B0771GPMPJ', 'USK7710719677320AJ', '#42,508 in Sports & Outdoors (', ')']"
B07W85Y39K,Toasis Fishing Spinning Baitcast Rod Telescopic Fishing Pole 7 Models,null,Toasis,$15.68,2 ratings,4 out of 5,"['#557,940 in Sports & Outdoors (', ')']","['3.8 ounces (', ')', 'B07W85Y39K', '#557,940 in Sports & Outdoors (', ')']"
B013DKZXAA,"Booms Fishing L1 Fishing Pliers 13-in-1 Multi-Tools 6.7-Inches with Belt Holder Sheath, Blue, Black and Silver Available",null,Booms Fishing,null,201 ratings,4.2 out of 5,"['#10,823 in Sports & Outdoors (', ')']","['4.2 ounces', '5.6 ounces (', ')', 'B013DKZXAA', '#10,823 in Sports & Outdoors (', ')']"
B07DKQLD1N,"Steinhauser Telescopic Fishing Rod and Spincast Reel Combo Micro Series - Tangle Free, Ultralight and Super Compact Fishing Rod Travel - for Both Kids and Adults","['B07QZG28CL', 'B07GVR5N41', 'B07D2KGY4W', 'B07D2L27WP', 'B07DKQLD1N']",STEINHAUSER,null,28 ratings,4 out of 5,"['#73,725 in Sports & Outdoors (', ')']","['14.4 ounces (', ')', 'B07DKQLD1N', '#73,725 in Sports & Outdoors (', ')']"
B004S7U7ZE,Portarod Inshore 3-Rod Holder Fishing Rod Holder/Transporter for Truck Bed,null,Portarod,null,11 ratings,3.8 out of 5,"['#502,929 in Sports & Outdoors (', ')']","['7 pounds (', ')', 'B004S7U7ZE', '3-Rod Holder', '#502,929 in Sports & Outdoors (', ')']"
B07XY1L6RR,Lixada Fishing Rod Case Three Layers Oxford Fishing Bag Portable Folding Fishing Rod Reel Tackle Tool Carry Case Carrier Travel Bag(130cm/150cm),"['B07XXXHY85', 'B07XY1L6RR']",Lixada,$28.99-$29.99,13 ratings,5 out of 5,"['#47,999 in Sports & Outdoors (', ')']","['B07XXYY5QF', '#47,999 in Sports & Outdoors (', ')']"
B07R9LQRC2,"The X5 Adventure Travel Fishing Rod. 5 Travel Fishing RODS in ONE. The Interchangeable Spin, Fly, Bait, Travel Fishing Rod. British Design. Rigged and Ready Travel Fishing",null,RIGGED & READY TRAVEL FISHING,null,1 rating,5 out of 5,"['#159,773 in Sports & Outdoors (', ')']","['1.2 pounds (', ')', 'B07R9LQRC2', '.', '#159,773 in Sports & Outdoors (', ')']"
B07LCN7DXF,UNISTRENGH Fishing Rod Case Portable Folding Fishing Rod Case Fishing Pole Reel Storage Bag Fishing Gears Organizer 80cm/90cm/100cm/120cm,"['B07LCM45ZH', 'B07LCLD4SF']",Unistrengh,$39.99-$79.99,3 ratings,5 out of 5,"['#168,522 in Sports & Outdoors (', ')']","['B07LCN6WDW', '#168,522 in Sports & Outdoors (', ')']"
B07PH5W85Z,CAPACI Fishing Rod Sleeve Braided Mesh Rod Protector Fishing Rod Sock Cover Pole Glove Tools 10 Pcs,null,CAPACI,$22.80,13 ratings,4.1 out of 5,"['#34,688 in Sports & Outdoors (', ')']","['1.3 pounds (', ')', 'B07PH5W85Z', '#34,688 in Sports & Outdoors (', ')']"
B081414DLT,2B Fishing Rod and Gear Bag Rod Gear Bag,null,2B Fishing,null,null,null,"['#273,075 in Sports & Outdoors (', ')']","['48 x 12 x 12 inches', '3 pounds (', ')', 'B081414DLT', '#273,075 in Sports & Outdoors (', ')']"
B07VCCZMVF,Fly Fishing Rod and Reel Combos Fly Fishing Full Kit 4 Piece Fly Rod Complete Starter Package Outfit Fly Rod Fly Reel with Travel Case,"['B07VCCZMVF', 'B07ZMBBNHG', 'B07ZMB5HL1', 'B07ZMB9635']",Sunlure,$88.99,null,null,"['#152,800 in Sports & Outdoors (', ')']","['2.4 pounds', 'B07VCCZMVF', '#152,800 in Sports & Outdoors (', ')']"
B07Z85NFBJ,QUNCI 10 Pack Fishing Rod Sleeve Rod Sock Cover with 6 Pack Rod Straps Belts Ties Fishing Gear Tools Accessories,null,QUNCI,$23.99,null,null,"['#89,511 in Sports & Outdoors (', ')']","['9.1 x 7.5 x 2.8 inches', '1.1 pounds (', ')', 'B07Z85NFBJ', '#89,511 in Sports & Outdoors (', ')']"
B0060MW258,Okuma Citrix Travel Rod 4pc Spinning 6' 6in ML W/Case,null,OKUMA,$80.63,14 ratings,3.8 out of 5,"['#293,620 in Sports & Outdoors (', ')']","['24 x 3 x 2 inches ; 0.32 ounces', '1 pounds (', ')', 'B0060MW258', 'for Proposition 65 warning.', 'CIT-S-664ML', '#293,620 in Sports & Outdoors (', ')']"
B01N0NDQMD,"Maxcatch Premier Fly Fishing Rod with Avid Fly Reel and Rod Case: 3/4, 5/6, 7/8-weight Rod and Reel Combo","['B01N1OVFQI', 'B01MQSMALI', 'B01N6DE84V', 'B01MXURJX6', 'B01NCIAXMW']",Maxcatch,$104.95-$119.95,14 ratings,3.8 out of 5,"['#146,902 in Sports & Outdoors (', ')']","['B07GVJQ8G1', '#146,902 in Sports & Outdoors (', ')']"
B07FMT3T7M,Goture Travel Fishing Rods Poles 4-Piece Casting/Spinning Rod with Case MF-Action M Power,null,Goture,null,9 ratings,3.3 out of 5,"['#444,026 in Sports & Outdoors (', ')']","['1.2 pounds (', ')', 'B07FMT3T7M', '#444,026 in Sports & Outdoors (', ')']"
B0049MMFOO,Zebco Omega Pro Spincast Reel,null,Zebco,$54.09,379 ratings,4.4 out of 5,"['#18,875 in Sports & Outdoors (', ')']","['6.8 x 6.3 x 4.4 inches ; 1.25 pounds', '1.4 pounds (', ')', 'Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.', 'This item can be shipped to select countries outside of the U.S.', 'B0049MMFOO', 'for Proposition 65 warning.', 'ZO3PRO,10,BX3', '#18,875 in Sports & Outdoors (', ')']"
B07KPV57Y2,"KastKing Anglers of Honor Fly Fishing Rods & Combos, 4 Pc Graphite Fly Rod Blank, 4 Line WTS, Include Fly Reel, Backing,Fly Line and Travel Case",null,KastKing,$75.99,30 ratings,4.8 out of 5,"['#71,080 in Sports & Outdoors (', ')']","['1.3 pounds', 'B07KPV57Y2', '#71,080 in Sports & Outdoors (', ')']"
B07KS4LQ6J,"Freehawk Kids Fishing Pole with Spincast Reel, Fishing Rod Combo Full Kits, Portable Telescopic Youth Fishing Rod with Full Kits Lure Case and Carry Bag for Youth Fishing and Beginner (Red)",null,Freehawk,$29.99,11 ratings,3.6 out of 5,"['#51,100 in Sports & Outdoors (', ')']","['2.1 pounds (', ')', 'B07KS4LQ6J', '#51,100 in Sports & Outdoors (', ')']"
B00M95ICG8,Piscifun New Fly Fishing Rod and Reel Combo Fly Fishing Complete 5/6 Starter Package Fly Fishing kit for Beginners,null,Piscifun,null,34 ratings,4 out of 5,"['#93,949 in Sports & Outdoors (', ')']","['1.94 pounds', '2 pounds (', ')', 'B00M95ICG8', '#93,949 in Sports & Outdoors (', ')']"
B07R8LYDT7,"The Frequent Flyer Travel Fly Fishing Rod and Reel Combination. 7 Section, 2.6m (8’6”), 5/6 Weight, Rod, Reel and case. British Design. Rigged and Ready Travel Fishing",null,RIGGED & READY TRAVEL FISHING,null,2 ratings,4.5 out of 5,"['#211,749 in Sports & Outdoors (', ')']","['1.3 pounds (', ')', 'B07R8LYDT7', '.', '#211,749 in Sports & Outdoors (', ')']"
B07FPL4FVL,"outlife Fishing Tackle Kit with Spinning Rod Reel Combos Line Lures Hooks Travel Bag, for Sea Saltwater Freshwater Boat Fishing, Starter Professional Full Set",null,outlife,$46.99,122 ratings,3.9 out of 5,"['#25,462 in Sports & Outdoors (', ')']","['18.9 x 5.5 x 2.8 inches ; 2.29 pounds', '2.3 pounds (', ')', 'B07FPL4FVL', '#25,462 in Sports & Outdoors (', ')']"
B07YHXFJ43,Bodawu Fishing Rod Sleeve Rod Socks Braided Mesh Fishing Rod Covers Fishing Tools to Protect Fishing Rods 4 Pack,null,Bodawu,$14.99,null,null,"['#145,469 in Sports & Outdoors (', ')']","['6.4 ounces (', ')', 'B07YHXFJ43', '#145,469 in Sports & Outdoors (', ')']"
B07SDF1WWG,ONE250 Mini Portable Pocket Pen Fishing Aluminum Alloy Rod and Reel,"['B07SDCRWBT', 'B07SC814LB', 'B07SDF1WWG', 'B07SC92RZF', 'B07SC8Q719']",ONE250,null,20 ratings,2.8 out of 5,"['#34,680 in Sports & Outdoors (', ')']","['9 x 4 x 0.2 inches', '4.3 ounces (', ')', 'B07SDF1WWG', '#34,680 in Sports & Outdoors (', ')']"
B00J0OTJPE,Fishing Rod Carrier & Storage Case,null,Accents Depot Etc,$21.99,31 ratings,3.3 out of 5,"['#114,451 in Sports & Outdoors (', ')']","['1.4 pounds (', ')', 'B00J0OTJPE', '#114,451 in Sports & Outdoors (', ')']"
B07J6S2SKF,"KastKing Centron Spinning Reel – Fishing Rod Combos, Toray IM6 Graphite 2Pc Blanks, Stainless Steel Guides",null,KastKing,null,320 ratings,4.4 out of 5,"['#15,089 in Sports & Outdoors (', ')']","['2.7 pounds (', ')', 'B07J6S2SKF', '#15,089 in Sports & Outdoors (', ')']"
B00NOBN42I,228600 Rapala Soft-Sided 30 Rod Bag,null,Rapala,null,20 ratings,3.9 out of 5,"['#235,447 in Sports & Outdoors (', ')']","['30 x 9 x 2 inches ; 1 pounds', '2 pounds', 'Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.', 'This item is not eligible for international shipping.', 'B00NOBN42I', 'for Proposition 65 warning.', '228600', '#235,447 in Sports & Outdoors (', ')']"
B07Q2BHXP2,"KastKing Crixus Fishing Rod and Reel Combo, Spinning and Casting Combos, IM6 Graphite Blank Rods,SuperPolymer Handle",null,KastKing,null,78 ratings,4.5 out of 5,"['#28,253 in Sports & Outdoors (', ')']","['2.9 pounds (', ')', 'B07Q2BHXP2', '#28,253 in Sports & Outdoors (', ')']"
B07QWW7M71,"M MAXIMUMCATCH Maxcatch Tenkara Rod Combo Complete Kit 11/12/13ft(Telescoping Carbon Tenkara Rod, Tenkara Line, Tippet, Flies, Line Nipper, Hook Keepers)",null,M MAXIMUMCATCH,$65.99-$83.99,16 ratings,4.1 out of 5,"['#93,094 in Sports & Outdoors (', ')']","['B07DX22P2T', '#93,094 in Sports & Outdoors (', ')']"
B005A32P78,Rack'em Overhead Fishing Rod Rack,"['B00A16NQTU', 'B005A32P78']",Rack'em,null,514 ratings,4.8 out of 5,"['#21,296 in Sports & Outdoors (', ')']","['28 x 5.2 x 1 inches ; 1.1 pounds', '1.4 pounds (', ')', 'Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.', 'This item can be shipped to select countries outside of the U.S.', 'B005A32P78', '7006', '#21,296 in Sports & Outdoors (', ')']"
B07G8P96L3,"Rigged & Ready Smuggler 6, Travel Rod. 6 Piece, 205cm, 6.7 ft, high Performance, Powerful, Nano Carbon Rod with Unbreakable tip, Travelling Fishing Rod and Tube.",null,RIGGED & READY TRAVEL FISHING,$69.99,1 rating,4 out of 5,"['#133,946 in Sports & Outdoors (', ')']","['1.1 pounds (', ')', 'B07G8P96L3', 'RNR0011', '#133,946 in Sports & Outdoors (', ')']"
B005ETGEFW,"Wild Water Fly Fishing Rod and Reel Combo, Deluxe 4 Piece Fly Rod 5/6 9' Complete Starter Package",null,Wild Water,null,133 ratings,4.5 out of 5,"['#24,794 in Sports & Outdoors (', ')']","['3.6 pounds (', ')', 'B005ETGEFW', 'AX56-090-4 DLX', '#24,794 in Sports & Outdoors (', ')']"
B07SLDF1QS,"Play22 Fishing Pole For Kids - 40 Set Kids Fishing Rod Combos - Kids Fishing Poles Includes Fishing Tackle, Fishing Gear, Fishing Lures, Net, Carry On Bag, Fully Fishing Equipment - For Boys And Girls",null,Play22,$24.99,73 ratings,4.2 out of 5,"['#5,608 in Sports & Outdoors (', ')']","['13.1 ounces (', ')', 'B07SLDF1QS', '#5,608 in Sports & Outdoors (', ')']"
B07GZZ8V7W,River Smith 2-Banger Rooftop Fly Rod Holder,null,RiverSmith,$399.99,8 ratings,4.9 out of 5,"['#213,003 in Sports & Outdoors (', ')']","['24 pounds', '24 pounds (', ')', 'B07GZZ8V7W', '#213,003 in Sports & Outdoors (', ')']"
B07D61MZJW,"70CM/27.55-Inch Oxford Waterproof Fishing Rod Reel Bag Case Fishing Gear Organizer Travel Tackle Tool Storage Bag Case with Double Zippers,Two Layer Large Capacity",null,Unknown,null,null,null,"['#1,374,487 in Sports & Outdoors (', ')']","['B07D61MZJW', '#1,374,487 in Sports & Outdoors (', ')']"
B015OW7PQU,"AdirPro 16-Foot Fiberglass Rectangular Leveling Rods - 8ths, 4 Section Telescopic with Carrying Case",null,AdirPro,$83.95,2 ratings,3.6 out of 5,"#217,215 in Toys & Games (","['B015OW7PQU', '3.6 out of 5 stars', '7.45 pounds (', ')', 'June 9, 2014']"
B00MM3MGR8,Piscifun Fishing Rod Case Portable Spinning/Baitcasting Rod Bag,null,Piscifun,null,null,null,"['#574,522 in Sports & Outdoors (', ')']","['1.6 pounds (', ')', 'B00MM3MGR8', '#574,522 in Sports & Outdoors (', ')']"
B01J91F3BG,"Fishpond Jackalope Rod Tube Case 32""",null,fishpond,null,3 ratings,5 out of 5,"['#186,188 in Sports & Outdoors (', ')']","['35 x 7 x 6 inches ; 5.3 ounces', '2.2 pounds (', ')', 'B01J91F3BG', 'Fishpond', '#186,188 in Sports & Outdoors (', ')']"
B07W1H6PNP,"JPTACTICAL Telescopic Fishing Rod and Reel Combos Full Kit, Spinning Fishing Gear Organizer Pole Sets Sea Saltwater Freshwater Kit Fishing Rod Kit",null,JPTACTICAL,$39.99,2 ratings,2.9 out of 5,"['#195,979 in Sports & Outdoors (', ')']","['1.4 pounds (', ')', 'B07W1H6PNP', '#195,979 in Sports & Outdoors (', ')']"
B015K0B490,"Santiam Fishing Rods Travel Rod 2 Piece 5'6"" 60-80lb (60-130lb Braid) Halibut/Tuna/Saltwater Rod",null,Santiam Fishing Rods,null,6 ratings,5 out of 5,"['#539,773 in Sports & Outdoors (', ')']","['6 pounds (', ')', 'B015K0B490', '#539,773 in Sports & Outdoors (', ')']"
B004URSAVA,Penn Spinning Reel Covers,null,Penn Reels,$10.00-$28.78,119 ratings,3.8 out of 5,"['#57,823 in Sports & Outdoors (', ')']","['B07C621ZM3', '#57,823 in Sports & Outdoors (', ')']"
B07JLQ4W83,Lixada Fishing Rod Case Fishing Tackle Bag Fishing Pole Storage Bag&9' Fly Fishing Rod and Reel Combo with 20 Flies Complete Starter Package Fly Fishing Kit,"['B07JLQ4W83', 'B07WFCB8XQ', 'B07WHH1QYB', 'B07WHGWYNC', 'B07STDWJXF', 'B07STB4WNC']",Lixada,$28.99,23 ratings,4.1 out of 5,"['#49,685 in Sports & Outdoors (', ')']","['15.2 ounces (', ')', 'B07JLQ4W83', '#49,685 in Sports & Outdoors (', ')']"
B07BNRHCSC,LYFZ 4/8Pack Rod Sock Fishing Rod Cover Braided Mesh Rod Sleeve Pole Glove Protector Cover for Casting Sea Fishing Rod,"['B07CY13SW7', 'B07BNRHCSC']",LYFZ,null,63 ratings,4 out of 5,"['#84,647 in Sports & Outdoors (', ')']","['12.8 ounces (', ')', 'B07BNRHCSC', '#84,647 in Sports & Outdoors (', ')']"
B078LYDQQ2,UNISTRENGH Fishing Rod Carrier Reel Case Bags Organizer Travel Carry Holder Pole Storage for Fishing and Traveling,"['B078M5R385', 'B078M2YVBL', 'B078LTRCC7', 'B078LYDQQ2', 'B078M68294', 'B078LY9HH6', 'B078LY8HSY', 'B078M4L7Z8', 'B078M431K6', 'B078LY673H', 'B078M63VMQ', 'B078LY8X9Z']",Unistrengh,null,5 ratings,2.8 out of 5,"['#559,987 in Sports & Outdoors (', ')']","['B078LYDQQ2', '#559,987 in Sports & Outdoors (', ')']"
B07SHMCGQ9,Booms Fishing VRC Vehicle Rod Carrier Fishing Pole Holder for SUV Wagons Vans,null,Booms Fishing,$11.99,35 ratings,3.9 out of 5,"['#24,770 in Sports & Outdoors (', ')']","['10.4 ounces (', ')', 'B07SHMCGQ9', '#24,770 in Sports & Outdoors (', ')']"
B07CY13SW7,LYFZ 4/8Pack Rod Sock Fishing Rod Cover Braided Mesh Rod Sleeve Pole Glove Protector Cover for Casting Sea Fishing Rod,"['B07CY13SW7', 'B07BNRHCSC']",LYFZ,null,63 ratings,4 out of 5,"['#84,647 in Sports & Outdoors (', ')']","['7 ounces', '7 ounces (', ')', 'B07CY13SW7', '#84,647 in Sports & Outdoors (', ')']"
B07HFQ5RB1,"The X-Large 'Recon' Rolling Fishing Backpack, Tackle Box Storage Bag - Non-Corrosive Fishing Tackle Bag with (5X) 3650 Boxes - Fisherman Gifts for Men, Tackle Bags, Backpacks and Tackle Box Organizer",null,Calissa Offshore Tackle,null,68 ratings,4.4 out of 5,"['#30,799 in Sports & Outdoors (', ')']","['12 pounds (', ')', 'B07HFQ5RB1', '#30,799 in Sports & Outdoors (', ')']"
